readLength	qualityScore	positionInRead	N	ExpectedCorrect	EmpiricalCorrect
101	A	13	19665673	0.999369	0.999452562698667
101	B	13	23171689	0.999499	0.999436852897691
101	C	13	20061682	0.999602	0.999678607066944
101	D	13	13734773	0.999684	0.999619140241924
101	E	13	48434912	0.999749	0.999688958238635
101	F	13	42354244	0.9998	0.999774503779434
101	G	13	119849020	0.999842	0.999767362485793
101	H	13	91878216	0.999874	0.999829041440411
101	I	13	270435357	0.9999	0.999843047839985
101	J	13	847949514	0.999921	0.99986367639829
101	#	14	2287823	0.369043	0.8670058692224
101	&	14	9395	0.683772	0.76370416093667
101	'	14	26965	0.748811	0.816762489152607
101	(	14	28386	0.800474	0.854611442084128
101	)	14	670310	0.841511	0.831346687637064
101	*	14	66472	0.874107	0.893488981706584
101	+	14	4513696	0.9	0.891955056993427
101	,	14	1617508	0.920567	0.918481395194337
101	-	14	15074	0.936904	0.967427320750962
101	.	14	4644	0.949881	0.977390174418604
101	/	14	18002	0.960189	0.961448689423398
101	0	14	117890	0.968377	0.978038831444566
101	1	14	841942	0.974881	0.978135085724432
101	2	14	5794219	0.980047	0.989947561082174
101	3	14	1436279	0.984151	0.986143355843121
101	4	14	1495181	0.987411	0.986340767867569
101	5	14	24355	0.99	0.995524523260111
101	6	14	244099	0.992057	0.991097866525465
101	7	14	174680	0.99369	0.994864902953971
101	8	14	608633	0.994988	0.994389066660862
101	9	14	1563727	0.996019	0.995127656696469
101	:	14	6928537	0.996838	0.997151769540813
101	;	14	2290092	0.997488	0.997648128833253
101	<	14	13907562	0.998005	0.998501312383219
101	=	14	552192	0.998415	0.998352040286713
101	>	14	3848824	0.998741	0.99846160618958
101	?	14	8762651	0.999	0.999089667203682
101	@	14	10430412	0.999206	0.998946074602803
101	A	14	19773258	0.999369	0.999468374509247
101	B	14	23425108	0.999499	0.999446090134996
101	C	14	20212976	0.999602	0.999680439097637
101	D	14	13998170	0.999684	0.999623322549446
101	E	14	48784008	0.999749	0.999703653732406
101	F	14	42763888	0.9998	0.999783281486286
101	G	14	121141860	0.999842	0.999779640689362
101	H	14	92278290	0.999874	0.999839755246309
101	I	14	273896588	0.9999	0.99985285052866
101	J	14	840973867	0.999921	0.999874693709352
101	#	15	2508991	0.369043	0.859073230397398
101	&	15	9878	0.683772	0.742154340757241
101	'	15	31380	0.748811	0.816826022817081
101	(	15	38185	0.800474	0.856016778735108
101	)	15	688097	0.841511	0.825832684612779
101	*	15	85044	0.874107	0.897417796634684
101	+	15	4448877	0.9	0.892320253492736
101	,	15	1589275	0.920567	0.920132132802693
101	-	15	19922	0.936904	0.965314686577654
101	.	15	12404	0.949881	0.973073186955822
101	/	15	26076	0.960189	0.965715574167818
101	0	15	125396	0.968377	0.979369345672908
101	1	15	853740	0.974881	0.97752009573055
101	2	15	5595556	0.980047	0.990230281155259
101	3	15	1443821	0.984151	0.986250371400609
101	4	15	1510806	0.987411	0.986529047417736
101	5	15	35888	0.99	0.99403699899688
101	6	15	256049	0.992057	0.990892344523897
101	7	15	175085	0.99369	0.994985306325498
101	8	15	654842	0.994988	0.994233729948598
101	9	15	1633149	0.996019	0.995070877286151
101	:	15	6875999	0.996838	0.997206656996895
101	;	15	2321943	0.997488	0.997598568946782
101	<	15	13812291	0.998005	0.998465634923996
101	=	15	581257	0.998415	0.998470569025407
101	>	15	3888616	0.998741	0.998453438106255
101	?	15	8826921	0.999	0.999090638198757
101	@	15	10501390	0.999206	0.998926815052007
101	A	15	19749083	0.999369	0.999464781429446
101	B	15	23610183	0.999499	0.999457095364192
101	C	15	20314618	0.999602	0.999698001516791
101	D	15	14230972	0.999684	0.999638675353094
101	E	15	49048710	0.999749	0.999704726058646
101	F	15	43108585	0.9998	0.99979078264529
101	G	15	122261544	0.999842	0.999785332179249
101	H	15	92730186	0.999874	0.999846384907833
101	I	15	277392813	0.9999	0.999858578866458
101	J	15	834615836	0.999921	0.99988209559868
101	#	16	2788127	0.369043	0.842409614166071
101	&	16	10888	0.683772	0.742836216844234
101	'	16	35308	0.748811	0.821145355953324
101	(	16	45087	0.800474	0.861356932264291
101	)	16	725752	0.841511	0.828440012932792
101	*	16	107047	0.874107	0.898091499014451
101	+	16	4478240	0.9	0.892258556016426
101	,	16	1589317	0.920567	0.920382155464894
101	-	16	23005	0.936904	0.962834113279723
101	.	16	21808	0.949881	0.972166149807411
101	/	16	34872	0.960189	0.969631761155081
101	0	16	141326	0.968377	0.978793698689554
101	1	16	886451	0.974881	0.977677266381335
101	2	16	5535221	0.980047	0.990708231334575
101	3	16	1483753	0.984151	0.986245031664301
101	4	16	1548835	0.987411	0.986721645064194
